transaction_id,customer_id,channel,product,amount,currency,timestamp,status,fraud_flag,date,month
1,15796,POS,Debit,90.69,CAD,2026-03-04,Success,0,2026-03-04,2026-03
2,861,Online,e-Transfer,35.29,CAD,2026-03-10,Success,0,2026-03-10,2026-03
3,5391,POS,Debit,15.5,CAD,2026-03-25,Success,0,2026-03-25,2026-03
4,11965,Online,e-Transfer,11.52,CAD,2026-03-12,Success,0,2026-03-12,2026-03
5,11285,Online,Debit,321.88,CAD,2026-01-25,Success,0,2026-01-25,2026-01
6,6266,Online,Debit,18.78,CAD,2026-03-29,Success,0,2026-03-29,2026-03
7,16851,Online,Debit,11.01,CAD,2026-03-13,Success,0,2026-03-13,2026-03
8,4427,Online,e-Transfer,6.12,CAD,2026-03-03,Success,0,2026-03-03,2026-03
9,14424,Mobile,Debit,7.02,CAD,2026-01-31,Success,0,2026-01-31,2026-01
10,11364,POS,e-Transfer,10.06,CAD,2026-03-19,Success,0,2026-03-19,2026-03
11,16024,Online,e-Transfer,10.91,CAD,2026-02-08,Success,1,2026-02-08,2026-02
12,8323,Online,Debit,15.66,CAD,2026-03-10,Success,0,2026-03-10,2026-03
13,1686,POS,Debit,48.92,CAD,2026-02-16,Success,0,2026-02-16,2026-02
14,770,POS,e-Transfer,29.87,CAD,2026-03-03,Success,0,2026-03-03,2026-03
15,2434,Mobile,Debit,43.05,CAD,2026-02-12,Success,0,2026-02-12,2026-02
16,5312,Online,Debit,14.66,CAD,2026-02-15,Success,0,2026-02-15,2026-02
17,5052,POS,Debit,19.7,CAD,2026-01-11,Success,0,2026-01-11,2026-01
18,6421,Mobile,Debit,42.86,CAD,2026-03-28,Success,0,2026-03-28,2026-03
19,17569,Online,Debit,44.27,CAD,2026-03-17,Success,0,2026-03-17,2026-03
20,19770,Online,Debit,16.2,CAD,2026-01-01,Success,0,2026-01-01,2026-01
21,6397,Online,e-Transfer,93.0,CAD,2026-01-10,Success,0,2026-01-10,2026-01
22,8667,POS,e-Transfer,8.22,CAD,2026-03-13,Success,0,2026-03-13,2026-03
23,18943,POS,e-Transfer,71.37,CAD,2026-03-20,Success,0,2026-03-20,2026-03
24,18432,POS,e-Transfer,13.55,CAD,2026-01-16,Success,0,2026-01-16,2026-01
25,2748,POS,Debit,9.56,CAD,2026-03-09,Success,0,2026-03-09,2026-03
26,190,Mobile,e-Transfer,9.13,CAD,2026-01-06,Success,0,2026-01-06,2026-01
27,19119,POS,Debit,14.66,CAD,2026-01-17,Success,0,2026-01-17,2026-01
28,3006,POS,Debit,43.41,CAD,2026-01-31,Success,0,2026-01-31,2026-01
29,1900,Online,e-Transfer,54.54,CAD,2026-02-15,Success,0,2026-02-15,2026-02
30,1268,Mobile,e-Transfer,32.71,CAD,2026-02-26,Success,0,2026-02-26,2026-02
31,17913,POS,e-Transfer,12.87,CAD,2026-03-29,Success,0,2026-03-29,2026-03
32,11395,Mobile,Debit,14.12,CAD,2026-02-02,Success,0,2026-02-02,2026-02
33,3557,POS,Debit,13.4,CAD,2026-03-07,Success,0,2026-03-07,2026-03
34,3891,POS,Debit,146.24,CAD,2026-03-07,Success,0,2026-03-07,2026-03
35,8839,Online,Debit,25.48,CAD,2026-02-10,Success,0,2026-02-10,2026-02
36,14503,POS,Debit,26.73,CAD,2026-03-22,Success,0,2026-03-22,2026-03
37,10628,Mobile,Debit,23.74,CAD,2026-02-03,Success,0,2026-02-03,2026-02
38,8793,Mobile,Debit,14.95,CAD,2026-03-29,Success,0,2026-03-29,2026-03
39,10556,Online,e-Transfer,17.46,CAD,2026-03-09,Success,0,2026-03-09,2026-03
40,10254,POS,Debit,29.65,CAD,2026-02-28,Failed,0,2026-02-28,2026-02
41,8434,POS,Debit,47.21,CAD,2026-01-15,Success,0,2026-01-15,2026-01
42,10234,Online,e-Transfer,21.32,CAD,2026-02-28,Success,0,2026-02-28,2026-02
43,11017,POS,e-Transfer,6.45,CAD,2026-02-26,Success,0,2026-02-26,2026-02
44,2613,Online,Debit,6.24,CAD,2026-01-13,Success,0,2026-01-13,2026-01
45,15788,POS,e-Transfer,27.24,CAD,2026-02-19,Success,0,2026-02-19,2026-02
46,17160,Online,Debit,25.89,CAD,2026-01-28,Success,0,2026-01-28,2026-01
47,12207,POS,Debit,7.34,CAD,2026-02-11,Success,0,2026-02-11,2026-02
48,8227,POS,Debit,13.48,CAD,2026-01-19,Success,0,2026-01-19,2026-01
49,14542,Online,Debit,25.34,CAD,2026-02-04,Success,0,2026-02-04,2026-02
50,3153,Online,Debit,22.52,CAD,2026-01-05,Success,0,2026-01-05,2026-01
51,1586,Online,e-Transfer,82.18,CAD,2026-03-02,Success,0,2026-03-02,2026-03
52,3944,POS,Debit,44.54,CAD,2026-02-08,Success,0,2026-02-08,2026-02
53,19458,POS,Debit,7.76,CAD,2026-03-13,Success,0,2026-03-13,2026-03
54,1022,POS,Debit,56.72,CAD,2026-02-22,Failed,0,2026-02-22,2026-02
55,11654,Online,Debit,5.69,CAD,2026-01-20,Success,0,2026-01-20,2026-01
56,10806,POS,Debit,6.95,CAD,2026-01-12,Success,0,2026-01-12,2026-01
57,13418,Mobile,Debit,7.9,CAD,2026-02-22,Success,0,2026-02-22,2026-02
58,7990,Mobile,Debit,8.74,CAD,2026-02-05,Success,0,2026-02-05,2026-02
59,9693,Mobile,e-Transfer,34.23,CAD,2026-01-05,Success,0,2026-01-05,2026-01
60,12991,Mobile,Debit,26.47,CAD,2026-03-26,Success,0,2026-03-26,2026-03
61,6874,Online,Debit,20.24,CAD,2026-01-31,Success,0,2026-01-31,2026-01
62,5676,Mobile,Debit,96.28,CAD,2026-03-22,Success,0,2026-03-22,2026-03
63,162,Online,Debit,3.75,CAD,2026-02-03,Success,0,2026-02-03,2026-02
64,4298,POS,Debit,64.07,CAD,2026-03-19,Success,0,2026-03-19,2026-03
65,996,Mobile,Debit,109.18,CAD,2026-01-20,Success,0,2026-01-20,2026-01
