risk_id,risk_category,risk_subcategory,risk_name,description,inherent_likelihood,inherent_impact,inherent_score,residual_likelihood,residual_impact,residual_score,risk_appetite_statement,risk_owner,status
R1,Operational,Service Availability & Stability,Major AuroraPay e-Transfer outage,"Risk that AuroraPay e-Transfer experiences a widespread outage or severe degradation during core hours, preventing participants and end users from sending and receiving payments.",High,High,Very High,Medium,High,High,No more than 1 major AuroraPay e-Transfer outage per quarter; unplanned downtime ≤ 60 minutes per quarter.,Head of AuroraPay Product,Active
R2,Operational,Service Availability & Stability,Chronic minor instability impacting payments,"Risk that recurring short-duration incidents (e.g., intermittent latency, partial failures) create a pattern of instability that erodes participant and customer trust even when SLAs are technically met.",High,Medium,High,Medium,Medium,Medium,No more than 4 minor incidents per month causing customer or participant-visible disruption.,Head of Technology Operations,Active
R3,Fraud,Customer-Facing Fraud & Scams,Social engineering and scam fraud,"Risk that fraudsters exploit social-engineering scams (e.g., fake invoices, impersonation) to induce customers to authorize AuroraPay transfers they did not intend, resulting in financial loss and reputational damage.",High,High,Very High,Medium,High,High,Fraud loss should not exceed 5 basis points (0.05%) of total AuroraPay e-Transfer volume on a rolling 12-month basis.,Head of Fraud Management,Active
R4,Fraud,Account Takeover & Credential Abuse,Account takeover enabling unauthorized payments,"Risk that compromised credentials, devices, or access tokens allow unauthorized parties to send payments via AuroraPay channels without timely detection, leading to losses and customer harm.",Medium,High,High,Low,High,Medium,Zero tolerance for systemic control failures; account takeover loss ≤ 2 basis points (0.02%) of volume and trending downward.,Head of Fraud Management,Active
R5,Technology & Security,Access Control & Privileged Access,Excessive privileged access to core AuroraPay systems,"Risk that too many users or service accounts retain privileged access to core AuroraPay components, increasing the likelihood of misuse, configuration errors, or undetected security incidents.",High,High,Very High,Medium,High,High,No unresolved critical findings on privileged access; all privileged access reviewed at least quarterly.,Head of Technology & Security,Active
R6,Technology & Security,Security Monitoring & Incident Detection,Insufficient security monitoring of payments infrastructure,"Risk that gaps in logging, monitoring, or alerting prevent timely detection and investigation of anomalous activity or security incidents impacting AuroraPay.",Medium,High,High,Medium,Medium,Medium,Critical systems must have centralized logging and high-severity security alerts with defined SLAs for triage and response.,Head of Technology & Security,Active
R7,Third-Party,Critical Service Providers,Critical vendor outage impacting transaction processing,"Risk that a critical external service provider (e.g., fraud analytics, connectivity, hosting) experiences an outage or major incident that disrupts AuroraPay transaction processing or fraud controls.",Medium,High,High,Low,High,Medium,No more than 2 high-impact critical vendor outages per year; contracted RTO/RPO must be met in ≥ 95% of incidents.,Head of Vendor Management,Active
R8,Third-Party,Critical Service Providers,Vendor-managed control weaknesses,"Risk that control gaps at critical vendors (e.g., access, change management, security monitoring) undermine AuroraPay's overall control environment, leading to increased exposure to fraud, outages, or data breaches.",Medium,High,High,Medium,Medium,Medium,Zero tolerance for unremediated critical vendor control deficiencies beyond agreed target dates.,Head of Vendor Management,Active
R9,Regulatory & Oversight,Incident & Change Notifications,Failure to meet incident and change notification expectations,"Risk that AuroraPay does not consistently or promptly notify oversight bodies of material incidents or changes, leading to findings, loss of confidence, or mandated remediation.",Low,High,High,Low,Medium,Medium,Zero tolerance for confirmed breaches of material notification obligations.,Head of Enterprise Risk,Active
R10,Regulatory & Oversight,Documentation & Evidence,Inability to demonstrate alignment to risk appetite,"Risk that risk decisions, control assessments, and remediation actions are not sufficiently documented to evidence alignment with risk appetite and standards during regulatory reviews or audits.",Medium,Medium,Medium,Low,Medium,Low,All material product risk decisions must be documented with clear rationale and linkage to risk appetite.,Head of Enterprise Risk,Active
R11,Technology & Security,Access Control & Privileged Access,Incomplete or ineffective privileged access reviews,"Risk that periodic reviews of privileged access for AuroraPay systems are incomplete, insufficiently challenged, or not performed on schedule, allowing inappropriate or stale access to persist across environments.",High,High,Very High,Medium,High,High,100% of in-scope privileged roles must be reviewed at least quarterly with documented challenge; no critical overdue recertifications.,Head of Technology & Security,Active
R12,Operational,Service Availability & Stability,Inadequate remediation of recurring incident root causes,"Risk that AuroraPay repeatedly experiences similar incidents (e.g., capacity, configuration, or vendor-related issues) because underlying root causes are not fully understood or remediated, leading to a pattern of instability and avoidable outages.",Medium,High,High,Medium,Medium,Medium,All high-severity incidents must have documented root cause and remediation actions; no more than 1 repeat major incident with the same primary cause in a 12-month period.,Head of Technology Operations,Active
